,ConeColour,X,Y,Z
0,blue,0.5270993113517761,0,1.7079485654830933
1,yellow,-0.5766632556915283,0,1.4592196941375732
2,blue,0.41183793544769287,0,2.609858751296997
3,blue,0.040261633694171906,0,3.759232997894287
4,blue,0.9538373947143555,0,4.277918338775635
5,blue,-0.40889301896095276,0,4.748540878295898
6,yellow,-0.7717020511627197,0,2.2495152950286865
7,yellow,-1.1303482055664062,0,3.3868818283081055
8,yellow,0.5242389440536499,0,4.634564399719238
9,yellow,1.3139514923095703,0,3.799154758453369
10,yellow,-1.285598874092102,0,4.363243103027344
11,blue,0.4108937382698059,0,5.41526985168457
12,yellow,-1.2210265398025513,0,3.7852883338928223